DEBUG 2021-06-27 00:30:01,997 - #########################
DEBUG 2021-06-27 00:30:02,002 - SSRCHECKER STATUS
INFO 2021-06-27 00:30:02,002 - connected to mysql
INFO 2021-06-27 00:30:02,008 - table_name = SSRCHECKER_ssrinithistorymodel
INFO 2021-06-27 00:30:02,015 - ignore = db_count(239) less than db_count_limit(250)
DEBUG 2021-06-27 00:30:02,023 - #########################
DEBUG 2021-06-27 00:30:02,028 - SSRCHECKER STATUS
INFO 2021-06-27 00:30:02,028 - connected to mysql
INFO 2021-06-27 00:30:02,033 - table_name = SSRCHECKER_ssrconfighistorymodel
INFO 2021-06-27 00:30:02,039 - ignore = db_count(229) less than db_count_limit(250)
DEBUG 2021-06-27 00:30:02,046 - #########################
DEBUG 2021-06-27 00:30:02,051 - SSRCHECKER STATUS
INFO 2021-06-27 00:30:02,051 - connected to mysql
INFO 2021-06-27 00:30:02,056 - table_name = SSRCHECKER_ssrmasterconfighistorymodel
INFO 2021-06-27 00:30:02,062 - ignore = db_count(65) less than db_count_limit(250)
DEBUG 2021-06-27 00:30:02,072 - #########################
DEBUG 2021-06-27 00:30:02,078 - SSRCHECKER STATUS
INFO 2021-06-27 00:30:02,078 - connected to mysql
INFO 2021-06-27 00:30:02,084 - table_name = SSRCHECKER_ssrhomehistorymodel
INFO 2021-06-27 00:30:02,090 - ignore = db_count(220) less than db_count_limit(250)
